model,metin,skor
tfidf,özlem gece aşk rüya kalp gel hayat gözler gece kalp gözler hayat gel gece aşk özlem bekle git bekle git git yalnızlık gece yollar yalnızlık yalnızlık rüya aşk bekle bekle gözler gel rüya gel bekle yollar git aşk yollar yalnızlık yollar aşk rüya kalp gel yalnızlık yollar hayat rüya yollar hayat hayat bekle yollar gece yalnızlık hayat yalnızlık özlem aşk hayat aşk gözler gözler gözler yollar aşk hayat özlem özlem aşk git gece özlem kalp yalnızlık aşk bekle bekle aşk aşk git aşk hayat bekle rüya kalp yollar aşk gözler kalp kalp yollar yalnızlık gece özlem rüya gece aşk özlem özlem git git git gözler aşk rüya hayat yollar gözler yalnızlık gece git git hayat kalp aşk bekle kalp rüya gel git kalp kalp özlem gel git aşk gözler kalp yollar rüya git aşk aşk yalnızlık gel kalp yalnızlık bekle kalp yollar kalp hayat bekle yollar aşk gözler git yalnızlık aşk rüya yalnızlık gece rüya yollar git rüya gel hayat yollar kalp git hayat yollar yollar aşk rüya rüya gece yalnızlık özlem kalp rüya gel yollar aşk bekle yalnızlık aşk aşk aşk aşk gel hayat özlem gece gözler hayat gece gel rüya hayat aşk git hayat yollar rüya gece kalp hayat gözler rüya rüya git gözler yollar yalnızlık git yollar git gözler kalp bekle gözler git yollar aşk git özlem özlem bekle yalnızlık git hayat hayat gece yollar yalnızlık hayat hayat bekle rüya özlem özlem gözler git yalnızlık gözler yalnızlık özlem aşk rüya gözler özlem gel bekle bekle yalnızlık hayat aşk özlem rüya yalnızlık gel rüya yollar git özlem gece yalnızlık rüya bekle bekle kalp rüya gece kalp gece bekle kalp aşk gözler gözler gözler gel gözler bekle özlem rüya gece özlem yalnızlık aşk kalp gözler aşk gözler git git bekle yollar gözler özlem kalp rüya gel aşk yollar kalp gözler gece gece gel hayat gel aşk gözler bekle yollar aşk bekle gözler gözler yalnızlık gel yollar özlem bekle gel yalnızlık git gece rüya aşk rüya rüya aşk aşk bekle aşk aşk aşk git aşk aşk yalnızlık hayat bekle gel git yollar bekle kalp bekle yalnızlık hayat bekle yalnızlık yollar gece aşk bekle gece git git rüya bekle kalp yalnızlık gece gözler gece hayat kalp aşk gece gel gece gözler hayat git gece aşk gel bekle gözler gece yollar gözler git yalnızlık özlem rüya gözler kalp yollar aşk git aşk gözler gözler bekle git gel yalnızlık kalp kalp gözler rüya gece gel rüya yalnızlık gel rüya gece yollar kalp kalp yollar bekle özlem git aşk özlem aşk bekle gözler rüya rüya kalp rüya gece bekle kalp yalnızlık git kalp gece yollar hayat aşk gece gel özlem gel gel rüya yalnızlık hayat bekle yollar yollar aşk,0.4213971757011144
tfidf,özlem hayat hayat özlem git gözler git gel gözler hayat gel aşk rüya rüya gel aşk gel yollar hayat aşk hayat bekle kalp kalp gece hayat özlem gözler özlem gece gel bekle yollar yalnızlık git kalp gel gel gel rüya aşk gel rüya rüya yalnızlık kalp yollar yollar git rüya gece gece gece aşk gel gel yalnızlık aşk gel gel gece kalp aşk rüya gece gel özlem özlem gece gel aşk git gözler bekle rüya hayat aşk gel hayat aşk gel rüya kalp yalnızlık gece git aşk gel gece yollar gözler yollar gözler rüya aşk özlem git aşk gel özlem hayat aşk yalnızlık aşk yollar yalnızlık yalnızlık gözler hayat kalp yollar yollar hayat aşk rüya yalnızlık aşk gözler gözler gel bekle gece bekle hayat bekle hayat yollar gel yollar aşk özlem aşk bekle özlem bekle rüya hayat aşk gözler git git hayat hayat gel gözler aşk hayat gözler yalnızlık yollar git yalnızlık yalnızlık gözler gece git özlem özlem gel hayat hayat yollar gel özlem yollar yollar gel gözler aşk kalp yollar yalnızlık kalp aşk kalp git bekle özlem hayat yalnızlık git yollar hayat rüya gel yalnızlık gel gözler aşk gece yollar yollar bekle hayat git yollar rüya yollar rüya aşk bekle,0.41060923765548346
tfidf,gözler aşk gözler aşk hayat rüya bekle yollar hayat özlem rüya gece hayat hayat yalnızlık özlem gece gece yalnızlık kalp gözler kalp gözler hayat git bekle gözler hayat gece yalnızlık gece gözler yollar gel bekle yollar bekle bekle aşk yollar bekle gözler gözler yollar aşk gece aşk kalp gel aşk yalnızlık aşk rüya gece yollar gel gel yollar özlem gece yalnızlık gel bekle gel git git gel özlem kalp özlem git gel bekle gece aşk bekle hayat gece rüya gözler yalnızlık gel gece git aşk gözler yalnızlık yollar yollar aşk kalp git özlem git rüya git gel rüya aşk özlem aşk hayat rüya hayat bekle gel git rüya bekle rüya rüya yollar yollar git yollar rüya kalp hayat aşk yollar gece git aşk bekle bekle gece yalnızlık bekle gel hayat aşk aşk hayat gözler gözler aşk kalp bekle hayat yollar gel bekle hayat gözler yalnızlık bekle yalnızlık özlem gece gece yalnızlık hayat bekle aşk kalp yalnızlık özlem git aşk rüya hayat gel yalnızlık özlem bekle bekle özlem kalp bekle rüya özlem git aşk gel gece kalp kalp bekle kalp aşk bekle yollar özlem aşk hayat özlem özlem rüya hayat yalnızlık kalp git gözler aşk rüya aşk bekle gel gece bekle hayat özlem yalnızlık yollar rüya kalp git bekle rüya kalp yalnızlık özlem gel,0.38298414139387743
tfidf,aşk gözler yalnızlık kalp aşk rüya kalp aşk hayat bekle gel kalp yalnızlık yollar aşk özlem hayat hayat aşk hayat yalnızlık özlem aşk yalnızlık yalnızlık gece bekle git rüya yollar gel gözler hayat gece bekle aşk kalp yollar bekle aşk gece kalp gel aşk yalnızlık rüya gel özlem kalp yalnızlık yollar rüya gece yalnızlık hayat yalnızlık git aşk gözler kalp kalp aşk gel yalnızlık gece yollar özlem hayat kalp rüya yollar gece gel yollar git özlem yollar özlem bekle kalp aşk gece hayat yalnızlık hayat gece aşk hayat yalnızlık gözler gözler gece yollar özlem aşk yalnızlık gözler gel git gece kalp rüya gece yalnızlık bekle rüya git hayat kalp rüya yalnızlık gel yollar yalnızlık gel gözler git gözler yalnızlık yollar yollar gel bekle gece yalnızlık yalnızlık yollar hayat hayat rüya kalp hayat kalp bekle gece bekle kalp bekle gece yalnızlık gözler aşk aşk rüya hayat rüya hayat aşk yalnızlık git bekle rüya bekle gece yalnızlık gözler hayat yalnızlık gözler kalp gece git gece bekle gece gece hayat kalp özlem kalp yalnızlık gece aşk kalp bekle yollar rüya rüya aşk git bekle rüya bekle aşk gözler yollar gel aşk aşk bekle aşk gel aşk git yollar kalp gözler aşk gözler yalnızlık git rüya yollar hayat gece aşk rüya gel yollar git hayat bekle hayat gel yollar özlem bekle özlem gece aşk aşk gözler aşk rüya git gel yollar yollar rüya gözler yollar hayat gece aşk özlem yollar yollar özlem git hayat aşk kalp kalp rüya gözler git git yalnızlık yalnızlık rüya hayat rüya özlem gece yalnızlık hayat gözler yollar git kalp gel yalnızlık özlem gözler git hayat özlem yollar gel rüya yalnızlık yalnızlık yalnızlık gel yollar git git gözler özlem hayat kalp gel gözler gece gözler kalp rüya git aşk gece hayat yalnızlık kalp gel aşk,0.37951095853714395
tfidf,rüya aşk yollar kalp aşk hayat rüya gece özlem yollar git gece aşk özlem rüya rüya hayat rüya git yollar git gece özlem gece yalnızlık bekle gözler yollar kalp gece hayat aşk yalnızlık aşk özlem aşk aşk git gözler gözler özlem aşk kalp gece hayat yalnızlık yollar bekle gözler rüya git hayat aşk yalnızlık kalp bekle özlem git yollar kalp yollar özlem hayat bekle yalnızlık yalnızlık aşk bekle gel git rüya özlem bekle aşk rüya rüya aşk kalp gece aşk aşk gece gece bekle hayat git yollar gece yalnızlık bekle gözler hayat gözler yalnızlık bekle özlem yollar kalp gel aşk gözler hayat bekle git yalnızlık yollar aşk aşk aşk rüya gece yalnızlık gözler yollar gece özlem kalp yalnızlık git git özlem rüya kalp rüya rüya bekle rüya gözler gözler yollar kalp bekle gel gözler git rüya aşk git yalnızlık yalnızlık kalp yalnızlık aşk gözler hayat gel rüya rüya aşk git git rüya yalnızlık özlem bekle rüya kalp yollar yalnızlık bekle aşk kalp aşk özlem kalp gece yalnızlık hayat yalnızlık git kalp rüya rüya bekle hayat rüya git gel hayat gece bekle yollar gece gözler gözler bekle bekle gel git bekle özlem gözler rüya yollar bekle git hayat özlem bekle kalp bekle yalnızlık özlem yalnızlık git aşk kalp rüya gel aşk kalp gözler gel bekle aşk rüya yalnızlık gece gel aşk kalp yalnızlık yollar gece git git gel rüya git gel yalnızlık gözler aşk bekle bekle bekle gece bekle rüya gece hayat gece gözler gece hayat bekle bekle özlem,0.3789323733725367
lemmatized_cbow_win2_dim100,kalp bekle gözler özlem yalnızlık kalp hayat gel yalnızlık gel aşk gece gözler git kalp özlem hayat yollar yalnızlık yalnızlık gel bekle rüya git gece hayat aşk gece yollar yalnızlık kalp özlem gözler gözler aşk yollar gece rüya rüya gece bekle gözler gel gel yollar hayat yalnızlık yollar gözler aşk özlem yollar aşk özlem gözler bekle gece yollar gel yollar gece kalp gözler bekle kalp yalnızlık hayat gel özlem özlem bekle git aşk özlem gece aşk rüya rüya kalp git bekle özlem gece rüya rüya gece bekle gel yalnızlık rüya gözler gece git gözler gece özlem hayat kalp git hayat kalp bekle rüya hayat hayat bekle git rüya gel gel hayat hayat gel yalnızlık gel kalp git aşk gözler yollar gece yollar özlem yollar gözler git kalp kalp git hayat gözler kalp hayat kalp özlem git gel yalnızlık git özlem yalnızlık aşk aşk git git yalnızlık bekle gel rüya özlem gözler gel git özlem gözler yollar özlem yalnızlık rüya gece kalp yalnızlık kalp yollar kalp gece gözler gel rüya hayat bekle yalnızlık aşk git özlem aşk bekle git yollar rüya rüya gel yollar git gözler rüya bekle özlem git aşk aşk bekle git gözler git gözler rüya yalnızlık kalp yollar gece gel hayat gözler aşk hayat hayat yalnızlık hayat gece aşk kalp yalnızlık özlem bekle hayat bekle aşk rüya özlem kalp yollar gece yalnızlık aşk gece yollar özlem aşk bekle aşk bekle gel hayat bekle gel hayat gel aşk gece gece gel rüya bekle yollar gözler aşk özlem bekle hayat özlem gece gel yalnızlık kalp gece gel gece hayat aşk özlem gel bekle özlem gel hayat kalp gel yalnızlık rüya yalnızlık yollar bekle git yollar hayat gözler hayat hayat özlem yalnızlık gece rüya hayat rüya rüya özlem gözler rüya bekle hayat yollar özlem yalnızlık gel rüya bekle rüya hayat hayat aşk hayat rüya gece yollar gece gözler yalnızlık gözler yollar yalnızlık özlem kalp yollar git yollar bekle yollar aşk gözler gece gece yollar aşk hayat rüya bekle bekle rüya özlem bekle yollar hayat hayat yollar gözler kalp gözler yalnızlık özlem rüya kalp özlem bekle aşk gözler bekle kalp kalp hayat özlem git gel yalnızlık gece yollar yalnızlık gözler özlem kalp gel git kalp bekle özlem rüya yollar bekle rüya aşk hayat yollar bekle git gel kalp gel yollar hayat gel git bekle rüya gözler yalnızlık yalnızlık yollar git git aşk aşk rüya gel git hayat gece kalp hayat bekle özlem bekle aşk gel yalnızlık yollar kalp yalnızlık hayat git aşk hayat yollar git rüya aşk yollar gece yollar yollar kalp gözler hayat git aşk özlem gözler yollar hayat git aşk gece hayat gel gel rüya gece kalp özlem yollar gözler aşk yollar git yollar yalnızlık yollar kalp kalp aşk aşk bekle yalnızlık bekle gel yalnızlık gel gece özlem gece gözler yollar bekle,0.9980734586715698
lemmatized_cbow_win2_dim100,bekle bekle gece gel rüya yollar gece hayat yollar aşk bekle gece kalp gözler rüya yalnızlık gece rüya yalnızlık gece bekle gözler bekle aşk yalnızlık yalnızlık bekle rüya özlem hayat kalp gözler yollar gözler gözler aşk git kalp rüya özlem bekle yalnızlık rüya gel özlem git bekle kalp gözler bekle hayat gözler kalp git hayat aşk yollar yalnızlık aşk yollar yollar aşk gel kalp kalp git yollar kalp yalnızlık git özlem gözler rüya gece özlem gece bekle gözler gözler rüya hayat gözler rüya gözler özlem rüya yollar rüya aşk gel özlem kalp aşk hayat yollar gece kalp gözler kalp gözler hayat aşk aşk gece git aşk bekle gel git kalp aşk bekle gözler rüya yollar özlem aşk git kalp hayat gel aşk aşk gece yollar gece özlem yollar git kalp git gözler hayat hayat kalp aşk git bekle gel gece yollar git hayat yalnızlık gözler yollar rüya gel kalp bekle gece gel özlem rüya özlem yalnızlık gözler gözler kalp kalp özlem bekle git gözler yalnızlık yalnızlık yollar gel kalp rüya rüya gece yalnızlık yollar hayat özlem yollar git gel gel gece aşk bekle gözler aşk gece özlem rüya özlem özlem kalp kalp yalnızlık gel gece gece yollar gece kalp gece bekle özlem yollar yalnızlık aşk yollar aşk yollar git aşk hayat bekle gece yollar bekle gözler kalp gel yalnızlık gel yalnızlık hayat yollar hayat özlem özlem aşk gel hayat gözler hayat kalp kalp özlem özlem gece hayat yalnızlık gel gece aşk rüya kalp kalp git bekle git aşk gel hayat gel gece gece yollar yalnızlık gel yollar aşk kalp aşk yalnızlık rüya hayat kalp git gece bekle hayat gel git özlem gece rüya gece git aşk yollar bekle git rüya aşk gözler yalnızlık gel bekle bekle gece yalnızlık gel özlem yollar kalp kalp gece bekle özlem git yollar gel kalp gece aşk bekle gece gece özlem özlem bekle git yalnızlık özlem gözler gözler hayat hayat kalp özlem gece yollar git aşk gel bekle özlem gözler git kalp özlem gözler gece hayat gel yollar gel gece kalp aşk yollar aşk gece hayat aşk yalnızlık aşk yollar gece git hayat gözler yollar özlem yollar özlem aşk bekle rüya yollar gözler yalnızlık gece bekle hayat rüya aşk kalp yollar hayat yalnızlık git yalnızlık yollar gece özlem hayat bekle bekle aşk özlem gel yollar hayat yalnızlık gece git yalnızlık yollar yollar bekle yalnızlık hayat yalnızlık aşk hayat yollar kalp gözler gözler yalnızlık gözler rüya rüya hayat aşk hayat gözler kalp bekle yalnızlık yalnızlık kalp yollar aşk rüya gel yollar yalnızlık bekle gözler gözler gece gece hayat rüya hayat rüya gel bekle,0.9980734586715698
lemmatized_cbow_win2_dim100,yalnızlık hayat gözler gözler gel gel bekle yollar özlem yollar bekle gel yalnızlık hayat özlem aşk yalnızlık gel yalnızlık yalnızlık özlem yollar git aşk aşk gece rüya yalnızlık aşk rüya git git aşk hayat aşk özlem rüya gece rüya gece kalp yollar özlem yollar bekle gece gece bekle git bekle aşk rüya git hayat gel gözler gece gel gel özlem kalp gözler gözler git gece rüya git gel yollar gece kalp kalp gece gel yollar yollar gözler rüya gel gözler bekle rüya git gece kalp yollar bekle gözler hayat yollar gel gel bekle yalnızlık yollar gece özlem rüya gözler hayat rüya hayat gözler gel aşk yalnızlık yalnızlık git rüya aşk gece hayat gel özlem git yollar yollar rüya hayat aşk aşk yalnızlık gel aşk rüya gözler gözler kalp git gel gece gözler hayat bekle kalp gece gözler gece yalnızlık özlem bekle rüya özlem özlem rüya kalp aşk özlem gel özlem gece kalp hayat git yollar rüya hayat bekle gel rüya kalp kalp yalnızlık git gel özlem gel aşk kalp git gece özlem hayat kalp hayat bekle yollar gel kalp gel aşk gel git yalnızlık özlem yalnızlık gel gözler hayat yollar bekle rüya rüya gece git gece kalp rüya gel bekle gece özlem gece kalp rüya gece özlem gözler gece yollar gözler rüya kalp hayat rüya özlem yollar özlem kalp aşk rüya gözler git gece aşk bekle git kalp kalp hayat hayat yalnızlık git yalnızlık rüya kalp gel gece kalp aşk yalnızlık hayat yollar gel yollar git git gece rüya yalnızlık özlem yalnızlık hayat gel gel rüya hayat özlem gözler yollar özlem git git aşk git aşk gel gece gece gel bekle yalnızlık yalnızlık bekle hayat gözler gece yollar aşk kalp bekle aşk hayat aşk özlem kalp bekle git gel bekle yalnızlık rüya aşk yollar özlem aşk kalp hayat bekle kalp bekle git gözler özlem rüya yollar aşk aşk aşk bekle rüya git git aşk gözler yalnızlık yalnızlık git gel rüya bekle gece aşk bekle rüya bekle yalnızlık gece aşk gece git aşk git gel kalp git hayat rüya git yalnızlık gözler hayat rüya hayat hayat git gözler yalnızlık aşk hayat bekle git hayat aşk aşk yollar gece git yollar rüya git gece bekle aşk rüya gece gece hayat gözler yollar kalp özlem gel bekle bekle rüya git gözler yalnızlık bekle yollar,0.9980734586715698
lemmatized_cbow_win2_dim100,rüya rüya gözler özlem aşk gel aşk özlem gece aşk bekle rüya git aşk yollar yollar yollar yalnızlık gözler gece gel git gözler gel gözler kalp gel gözler özlem gece yalnızlık yollar gel gel bekle gel git git yalnızlık rüya kalp gözler yollar gece gel yalnızlık yalnızlık rüya rüya gece rüya bekle gel kalp yollar gece özlem git özlem kalp gözler gözler yollar aşk yalnızlık gel yollar gözler aşk yollar gözler bekle yalnızlık özlem bekle yollar kalp gece gözler özlem kalp özlem git özlem hayat rüya rüya gözler kalp bekle gözler özlem rüya gece rüya yalnızlık özlem gözler özlem kalp bekle gel bekle rüya hayat özlem yollar gece bekle özlem rüya yalnızlık rüya bekle özlem rüya gel rüya yollar rüya gece aşk özlem gel yollar yollar hayat gözler kalp özlem hayat gece gözler yalnızlık yalnızlık gözler hayat hayat kalp gece hayat bekle yollar gel gece git yalnızlık gözler rüya git kalp yalnızlık git yalnızlık kalp yalnızlık rüya gece özlem gece aşk yalnızlık özlem özlem kalp git gel yollar gözler kalp yalnızlık git özlem gözler gözler aşk rüya hayat gece özlem yollar yalnızlık aşk yollar yalnızlık git rüya özlem gel gel kalp rüya bekle yollar yalnızlık yalnızlık hayat yalnızlık gel aşk yalnızlık gece kalp hayat bekle git hayat gözler hayat özlem yollar gece gel gece özlem gözler aşk rüya git yollar gece gel rüya bekle aşk gel aşk gel özlem rüya hayat bekle gel kalp rüya gece gece gel aşk kalp gözler rüya bekle gece yalnızlık,0.9980734586715698
lemmatized_cbow_win2_dim100,bekle gece yalnızlık gece yollar bekle gel yalnızlık kalp hayat gel bekle özlem hayat rüya git aşk gece gel yalnızlık git aşk özlem git bekle yalnızlık git kalp yollar yollar git özlem özlem gel rüya özlem bekle gözler kalp gel bekle yollar rüya özlem özlem gel gözler aşk git hayat rüya aşk bekle bekle gece hayat hayat aşk hayat yollar kalp yalnızlık yalnızlık kalp özlem hayat hayat gözler rüya gece kalp gel kalp gel aşk git rüya git git gel bekle yollar aşk özlem bekle bekle hayat gece özlem rüya gece yalnızlık yalnızlık aşk gece aşk özlem gece bekle bekle kalp hayat kalp yalnızlık aşk aşk yollar yalnızlık gece gel rüya kalp yalnızlık git gözler kalp gözler gel yalnızlık yollar gece bekle kalp kalp kalp gel hayat gece aşk gel kalp bekle özlem hayat gece rüya gece bekle gözler yalnızlık kalp kalp gece gel bekle rüya özlem kalp özlem kalp rüya rüya gel rüya aşk rüya git gece gel aşk gözler rüya gel hayat özlem hayat git gel hayat yollar yollar git gel yollar gece gece git git git özlem kalp gel git yollar bekle yollar kalp hayat gel kalp yollar aşk bekle özlem yalnızlık bekle gözler özlem gel rüya yollar git yollar aşk özlem kalp hayat gece rüya yollar gözler git hayat kalp gece yalnızlık gözler hayat yalnızlık gözler gel kalp yollar rüya rüya git yollar özlem kalp kalp gel aşk gözler git özlem git gel bekle gözler özlem rüya bekle yollar git yalnızlık özlem gözler aşk yollar gözler gözler aşk gözler özlem gece aşk aşk bekle özlem gözler gel aşk bekle hayat aşk rüya yollar gece rüya rüya yollar kalp gözler özlem aşk özlem özlem gece hayat rüya gel kalp yalnızlık kalp gözler özlem özlem kalp gece gözler gözler gözler kalp kalp aşk gözler hayat yollar bekle yollar bekle kalp özlem rüya yollar aşk kalp gel gel gel hayat gel yollar yollar kalp gel gözler yollar özlem yollar rüya aşk yalnızlık gözler git gözler git git gözler özlem yalnızlık gözler kalp kalp rüya yollar hayat yollar git kalp özlem bekle bekle yalnızlık gel kalp kalp aşk aşk hayat rüya hayat bekle git aşk özlem gece aşk git yollar gece hayat gece gece kalp yollar özlem gel kalp rüya gözler yalnızlık rüya bekle özlem hayat yollar yollar hayat git özlem yollar yollar git kalp gece kalp gece bekle gece yalnızlık hayat yollar bekle kalp yollar gel gözler gel özlem aşk gözler yollar gece aşk aşk bekle bekle rüya kalp rüya git gözler hayat gözler,0.9980734586715698
