şarkı,lemmatized_str
Yalnızlık Senfonisi,kalp beklemek gözlemek Özlem yalnız kalp hayat gelmek yalnız gelmek aşk gece gözlemek gitmek kalp Özlem hayat yollamak yalnız yalnız gelmek beklemek Rüya gitmek gece hayat aşk gece yollamak yalnız kalp Özlem gözlemek gözlemek aşk yollamak gece Rüya Rüya gece beklemek gözlemek gelmek gelmek yollamak hayat yalnız yollamak gözlemek aşk Özlem yollamak aşk Özlem gözlemek beklemek gece yollamak gelmek yollamak gece kalp gözlemek beklemek kalp yalnız hayat gelmek Özlem Özlem beklemek gitmek aşk Özlem gece aşk Rüya Rüya kalp gitmek beklemek Özlem gece Rüya Rüya gece beklemek gelmek yalnız Rüya gözlemek gece gitmek gözlemek gece Özlem hayat kalp gitmek hayat kalp beklemek Rüya hayat hayat beklemek gitmek Rüya gelmek gelmek hayat hayat gelmek yalnız gelmek kalp gitmek aşk gözlemek yollamak gece yollamak Özlem yollamak gözlemek gitmek kalp kalp gitmek hayat gözlemek kalp hayat kalp Özlem gitmek gelmek yalnız gitmek Özlem yalnız aşk aşk gitmek gitmek yalnız beklemek gelmek Rüya Özlem gözlemek gelmek gitmek Özlem gözlemek yollamak Özlem yalnız Rüya gece kalp yalnız kalp yollamak kalp gece gözlemek gelmek Rüya hayat beklemek yalnız aşk gitmek Özlem aşk beklemek gitmek yollamak Rüya Rüya gelmek yollamak gitmek gözlemek Rüya beklemek Özlem gitmek aşk aşk beklemek gitmek gözlemek gitmek gözlemek Rüya yalnız kalp yollamak gece gelmek hayat gözlemek aşk hayat hayat yalnız hayat gece aşk kalp yalnız Özlem beklemek hayat beklemek aşk Rüya Özlem kalp yollamak gece yalnız aşk gece yollamak Özlem aşk beklemek aşk beklemek gelmek hayat beklemek gelmek hayat gelmek aşk gece gece gelmek Rüya beklemek yollamak gözlemek aşk Özlem beklemek hayat Özlem gece gelmek yalnız kalp gece gelmek gece hayat aşk Özlem gelmek beklemek Özlem gelmek hayat kalp gelmek yalnız Rüya yalnız yollamak beklemek gitmek yollamak hayat gözlemek hayat hayat Özlem yalnız gece Rüya hayat Rüya Rüya Özlem gözlemek Rüya beklemek hayat yollamak Özlem yalnız gelmek Rüya beklemek Rüya hayat hayat aşk hayat Rüya gece yollamak gece gözlemek yalnız gözlemek yollamak yalnız Özlem kalp yollamak gitmek yollamak beklemek yollamak aşk gözlemek gece gece yollamak aşk hayat Rüya beklemek beklemek Rüya Özlem beklemek yollamak hayat hayat yollamak gözlemek kalp gözlemek yalnız Özlem Rüya kalp Özlem beklemek aşk gözlemek beklemek kalp kalp hayat Özlem gitmek gelmek yalnız gece yollamak yalnız gözlemek Özlem kalp gelmek gitmek kalp beklemek Özlem Rüya yollamak beklemek Rüya aşk hayat yollamak beklemek gitmek gelmek kalp gelmek yollamak hayat gelmek gitmek beklemek Rüya gözlemek yalnız yalnız yollamak gitmek gitmek aşk aşk Rüya gelmek gitmek hayat gece kalp hayat beklemek Özlem beklemek aşk gelmek yalnız yollamak kalp yalnız hayat gitmek aşk hayat yollamak gitmek Rüya aşk yollamak gece yollamak yollamak kalp gözlemek hayat gitmek aşk Özlem gözlemek yollamak hayat gitmek aşk gece hayat gelmek gelmek Rüya gece kalp Özlem yollamak gözlemek aşk yollamak gitmek yollamak yalnız yollamak kalp kalp aşk aşk beklemek yalnız beklemek gelmek yalnız gelmek gece Özlem gece gözlemek yollamak beklemek
Gibi,gece gözlemek kalp yollamak yalnız kalp Özlem hayat aşk aşk yollamak kalp beklemek Özlem kalp yalnız yalnız Özlem gelmek gelmek beklemek gece kalp gitmek gözlemek gelmek hayat Özlem hayat hayat Rüya kalp kalp aşk aşk kalp aşk Rüya Özlem yollamak Rüya kalp Özlem gitmek gözlemek gece gece gitmek Rüya beklemek gitmek yollamak gece hayat yollamak hayat aşk yollamak yollamak aşk aşk aşk yalnız gelmek kalp yollamak gece gece gözlemek kalp aşk yollamak gitmek gelmek Özlem yollamak Rüya aşk gelmek Özlem yalnız kalp hayat yollamak gece gözlemek yalnız hayat kalp yalnız Özlem yollamak hayat aşk beklemek kalp Özlem gözlemek aşk beklemek beklemek kalp Rüya beklemek kalp aşk gitmek gözlemek hayat gitmek Özlem kalp hayat gece yalnız beklemek hayat aşk yollamak yollamak gitmek gece gözlemek Rüya hayat gelmek gözlemek yollamak gitmek gözlemek gece gözlemek hayat gitmek yollamak yalnız hayat aşk beklemek gelmek yollamak hayat hayat Özlem kalp gitmek Rüya Özlem kalp aşk gitmek gelmek aşk gözlemek gelmek beklemek Rüya gece gece beklemek gözlemek hayat yollamak gitmek hayat yalnız gece beklemek gitmek yollamak hayat aşk gitmek aşk yalnız beklemek Rüya gece kalp gece hayat gitmek hayat gelmek beklemek aşk aşk kalp hayat gözlemek Özlem beklemek aşk yalnız gitmek gelmek yollamak hayat yollamak gece gelmek yalnız Rüya gitmek gözlemek yollamak kalp beklemek beklemek yalnız kalp yollamak gözlemek gözlemek gelmek gelmek gitmek gece gelmek aşk gece beklemek kalp Özlem yollamak kalp aşk yollamak Rüya beklemek yollamak Özlem yalnız gece yollamak aşk kalp aşk hayat Rüya gelmek Özlem kalp Özlem yollamak beklemek Rüya aşk gözlemek kalp gece gözlemek hayat gece hayat yalnız hayat gece yalnız kalp hayat Özlem yalnız gözlemek hayat beklemek aşk gözlemek gitmek gelmek kalp beklemek yalnız Rüya Rüya yalnız gece aşk kalp hayat gece kalp gitmek beklemek gözlemek Rüya gitmek gitmek yollamak hayat gelmek gelmek gitmek gitmek Özlem Özlem aşk hayat gece beklemek Rüya gitmek aşk Özlem gece hayat gitmek gözlemek yollamak beklemek Özlem Rüya kalp beklemek beklemek kalp aşk gitmek Rüya Özlem yalnız gözlemek kalp beklemek aşk gözlemek yalnız yollamak yollamak kalp hayat Özlem
Kara Sevda,Özlem Rüya hayat yalnız kalp hayat kalp yollamak hayat gitmek beklemek gelmek yalnız gece hayat Rüya Rüya gözlemek gece beklemek gözlemek yollamak yalnız yalnız Rüya gece kalp yalnız gitmek Özlem hayat Özlem gözlemek yalnız gitmek beklemek Özlem gitmek Rüya hayat gece gece Rüya yollamak gitmek aşk hayat Rüya gelmek kalp Özlem beklemek yalnız gitmek hayat gözlemek hayat aşk yalnız Özlem gece beklemek kalp Rüya kalp gelmek beklemek gece gözlemek hayat gözlemek aşk yollamak yalnız Rüya gözlemek gitmek gözlemek gözlemek gece gece aşk hayat yalnız gözlemek Rüya Özlem Rüya Rüya gitmek aşk hayat beklemek yollamak hayat aşk yollamak hayat Özlem kalp gözlemek gece beklemek kalp yollamak beklemek kalp Rüya aşk hayat aşk aşk kalp gece yollamak yalnız beklemek gözlemek gözlemek aşk yalnız yollamak yollamak aşk Özlem hayat yalnız gelmek gece kalp aşk yollamak gözlemek Rüya Rüya gelmek gelmek gelmek gitmek aşk hayat gece gözlemek aşk Özlem Rüya beklemek Özlem Özlem gelmek Özlem kalp aşk gözlemek gözlemek gözlemek beklemek Özlem gözlemek yalnız gelmek kalp kalp hayat gözlemek kalp hayat yollamak Rüya gece Özlem beklemek kalp gitmek yollamak gitmek gözlemek kalp gitmek yalnız hayat beklemek yalnız aşk gözlemek yalnız Rüya gözlemek Rüya kalp yollamak hayat gitmek yalnız gelmek aşk Rüya gece gözlemek Özlem Özlem gelmek yalnız hayat kalp gözlemek gitmek gelmek Özlem gece yalnız gelmek gelmek yalnız yollamak yollamak kalp gece yalnız gelmek beklemek hayat gözlemek beklemek gece gözlemek Rüya gelmek yalnız Rüya gözlemek hayat beklemek gitmek gözlemek gelmek Özlem Rüya Özlem aşk hayat yollamak gece yollamak gitmek gözlemek Özlem kalp beklemek kalp yollamak yollamak hayat gözlemek gece gözlemek gitmek beklemek gitmek Özlem Rüya aşk Rüya gitmek gitmek yalnız gelmek yalnız gözlemek Rüya gelmek hayat Özlem yollamak gelmek aşk yalnız kalp gece gitmek Özlem yollamak gelmek gitmek kalp yalnız Rüya hayat Rüya yollamak gece gelmek yollamak hayat yollamak hayat aşk gitmek yalnız Özlem Özlem gece kalp Özlem hayat gece gözlemek kalp Özlem gece gelmek yollamak gelmek yalnız aşk aşk gece Özlem yollamak gitmek gelmek yalnız Özlem gözlemek gitmek gece aşk yalnız yalnız gelmek gece gözlemek Özlem Rüya aşk gelmek gitmek gözlemek beklemek gitmek yalnız gelmek gelmek Özlem beklemek Özlem aşk Özlem hayat gözlemek gitmek gözlemek aşk Rüya kalp hayat gelmek Rüya beklemek yollamak yalnız beklemek gözlemek gitmek kalp gelmek kalp Özlem Özlem Rüya gelmek gitmek aşk Rüya hayat beklemek gelmek gözlemek gelmek yollamak gözlemek yollamak gözlemek yalnız kalp gitmek gelmek kalp Rüya yalnız yalnız aşk gece yollamak beklemek yalnız kalp kalp beklemek yalnız gelmek gözlemek gözlemek hayat yalnız gelmek gelmek Rüya yalnız gelmek gelmek yalnız Rüya gelmek yollamak aşk yalnız aşk aşk hayat yollamak aşk yalnız yalnız yalnız hayat Özlem yalnız gece gözlemek Özlem Rüya yalnız beklemek aşk gelmek gitmek gelmek aşk gitmek hayat gözlemek yalnız hayat Rüya gitmek hayat gözlemek Özlem kalp yalnız yalnız gözlemek gitmek gitmek gece gözlemek yollamak hayat Özlem gelmek yalnız gece Rüya beklemek hayat yalnız Özlem kalp kalp yollamak yalnız Özlem gelmek gözlemek beklemek Özlem Rüya hayat Rüya hayat gece gece Özlem gelmek beklemek aşk gece gelmek
Gel Yanıma,gece hayat gözlemek gitmek kalp gitmek aşk hayat gece yollamak hayat gözlemek gitmek Özlem Özlem gece kalp gelmek gelmek beklemek gözlemek gece yalnız gözlemek gece gece gitmek Özlem aşk gelmek gece gitmek beklemek beklemek hayat hayat gözlemek gitmek beklemek yalnız yalnız gelmek kalp Rüya Özlem kalp Rüya hayat Rüya Özlem kalp kalp beklemek gelmek gelmek gitmek gece Rüya hayat Rüya yollamak yollamak hayat aşk gelmek gözlemek gelmek Rüya aşk Rüya Özlem gece beklemek kalp gece yalnız aşk gitmek yalnız aşk yollamak Özlem kalp kalp beklemek aşk Rüya beklemek Rüya beklemek beklemek Rüya kalp kalp yollamak hayat yalnız hayat beklemek Özlem gitmek beklemek kalp aşk yollamak yalnız Rüya hayat kalp beklemek kalp Özlem gece gitmek gitmek hayat kalp beklemek Özlem Özlem aşk hayat gitmek Rüya gitmek hayat Rüya yalnız gece gece aşk yollamak Özlem kalp kalp aşk yollamak Rüya gözlemek Özlem aşk hayat yalnız gece yalnız gelmek gelmek gelmek hayat Özlem yalnız kalp hayat Özlem gözlemek gelmek hayat yollamak gitmek yollamak Rüya kalp yalnız gelmek gitmek gözlemek beklemek Rüya gece kalp yalnız yollamak hayat yalnız gelmek gelmek gece gözlemek kalp beklemek yalnız beklemek gece gözlemek yalnız gözlemek yollamak gözlemek Özlem aşk gece yollamak gece gece aşk aşk hayat beklemek gece gitmek aşk gitmek hayat Özlem kalp kalp gelmek Özlem aşk yollamak Özlem yalnız gözlemek Özlem Rüya aşk Rüya beklemek kalp gelmek yollamak gitmek yollamak beklemek Özlem gelmek beklemek Rüya gelmek Özlem gözlemek hayat gelmek
Yalnızlık Senfonisi,gözlemek aşk gözlemek aşk hayat Rüya beklemek yollamak hayat Özlem Rüya gece hayat hayat yalnız Özlem gece gece yalnız kalp gözlemek kalp gözlemek hayat gitmek beklemek gözlemek hayat gece yalnız gece gözlemek yollamak gelmek beklemek yollamak beklemek beklemek aşk yollamak beklemek gözlemek gözlemek yollamak aşk gece aşk kalp gelmek aşk yalnız aşk Rüya gece yollamak gelmek gelmek yollamak Özlem gece yalnız gelmek beklemek gelmek gitmek gitmek gelmek Özlem kalp Özlem gitmek gelmek beklemek gece aşk beklemek hayat gece Rüya gözlemek yalnız gelmek gece gitmek aşk gözlemek yalnız yollamak yollamak aşk kalp gitmek Özlem gitmek Rüya gitmek gelmek Rüya aşk Özlem aşk hayat Rüya hayat beklemek gelmek gitmek Rüya beklemek Rüya Rüya yollamak yollamak gitmek yollamak Rüya kalp hayat aşk yollamak gece gitmek aşk beklemek beklemek gece yalnız beklemek gelmek hayat aşk aşk hayat gözlemek gözlemek aşk kalp beklemek hayat yollamak gelmek beklemek hayat gözlemek yalnız beklemek yalnız Özlem gece gece yalnız hayat beklemek aşk kalp yalnız Özlem gitmek aşk Rüya hayat gelmek yalnız Özlem beklemek beklemek Özlem kalp beklemek Rüya Özlem gitmek aşk gelmek gece kalp kalp beklemek kalp aşk beklemek yollamak Özlem aşk hayat Özlem Özlem Rüya hayat yalnız kalp gitmek gözlemek aşk Rüya aşk beklemek gelmek gece beklemek hayat Özlem yalnız yollamak Rüya kalp gitmek beklemek Rüya kalp yalnız Özlem gelmek
Kara Sevda,gece yalnız gelmek aşk aşk gitmek yollamak gitmek kalp hayat Rüya beklemek yollamak gece gece yalnız gitmek yalnız gözlemek gelmek gözlemek yollamak gözlemek gitmek gitmek gitmek yalnız beklemek gelmek kalp yalnız yalnız gelmek kalp gözlemek gözlemek gece Rüya aşk gelmek beklemek gece hayat gözlemek yalnız gitmek hayat beklemek aşk Özlem gelmek gelmek yollamak yollamak kalp gelmek yalnız gözlemek gözlemek Özlem yalnız yollamak gitmek Rüya yollamak Özlem beklemek gözlemek hayat gelmek gitmek Özlem kalp yollamak kalp gitmek gitmek yollamak gece yalnız hayat gelmek gitmek beklemek beklemek gece gece yollamak gece Rüya gelmek gözlemek gece beklemek kalp Özlem Rüya yalnız Rüya beklemek yollamak yalnız yalnız gözlemek Rüya aşk Rüya kalp yalnız gözlemek yollamak gece gözlemek kalp kalp beklemek gece gelmek hayat Rüya gece gelmek yollamak yollamak yollamak gözlemek gece beklemek aşk beklemek gitmek Özlem Rüya yalnız Rüya aşk gelmek gece gelmek Özlem gözlemek gece aşk hayat gelmek gelmek Özlem hayat gitmek yalnız gelmek hayat beklemek hayat yalnız kalp Rüya Rüya kalp aşk aşk Rüya gitmek beklemek Özlem hayat aşk kalp Özlem Özlem Rüya kalp gitmek beklemek hayat beklemek gelmek Özlem aşk kalp Rüya Rüya gözlemek Rüya aşk gelmek aşk gitmek gelmek kalp yollamak aşk Özlem beklemek kalp beklemek gözlemek aşk gitmek gitmek Özlem beklemek gece yalnız gece kalp yollamak gözlemek gitmek gitmek gitmek yalnız Rüya gece beklemek aşk kalp beklemek gitmek Rüya gözlemek yollamak yalnız kalp kalp Rüya hayat hayat Özlem gece aşk gitmek gece Özlem beklemek hayat gelmek yollamak gelmek yalnız gece gelmek Özlem gece Özlem kalp gece yalnız aşk gözlemek Özlem aşk yollamak gitmek yalnız yalnız kalp gitmek yollamak Özlem gece kalp kalp gitmek Rüya Özlem aşk beklemek kalp Özlem beklemek Rüya Rüya gözlemek yalnız yalnız gece gözlemek yalnız beklemek gelmek gözlemek aşk beklemek gözlemek gelmek kalp gitmek kalp beklemek kalp aşk aşk gitmek Rüya gitmek gelmek yalnız gelmek yollamak Özlem Özlem Özlem gece hayat aşk yollamak gelmek hayat yalnız beklemek gözlemek Özlem gelmek gece gözlemek gözlemek gelmek kalp Rüya yalnız gelmek gece yalnız gözlemek gece gözlemek beklemek gitmek aşk gece yollamak yollamak gelmek yalnız gözlemek beklemek gitmek Rüya yalnız aşk aşk gitmek yalnız aşk beklemek kalp kalp
Gibi,beklemek Rüya aşk Özlem yollamak yollamak gözlemek aşk gece kalp hayat yollamak yollamak Rüya kalp aşk hayat gece gelmek yalnız Rüya gelmek hayat yalnız hayat yalnız Rüya Rüya gitmek gitmek yalnız yalnız Özlem yalnız hayat kalp aşk kalp hayat gece kalp gelmek Özlem aşk yalnız Rüya beklemek yalnız gece yalnız yalnız gözlemek Özlem beklemek gece kalp gözlemek hayat gelmek Özlem gitmek beklemek Özlem gece gece hayat gelmek Rüya gitmek Özlem Rüya aşk Özlem Özlem Rüya gitmek Özlem kalp Özlem gece yalnız gözlemek gece kalp hayat Özlem hayat gelmek Özlem Özlem yollamak gelmek gece gece beklemek gitmek gece yollamak kalp gelmek Rüya kalp gece hayat gelmek yollamak gitmek beklemek yalnız beklemek beklemek beklemek Rüya hayat aşk Özlem kalp Özlem Özlem Özlem kalp gelmek yollamak yalnız gitmek gözlemek aşk Rüya beklemek beklemek gitmek Rüya Rüya Rüya beklemek gece gelmek Rüya gözlemek yalnız hayat Özlem hayat Özlem gözlemek gece yalnız hayat gelmek kalp Özlem gitmek Özlem gece hayat gitmek gitmek yalnız yalnız aşk gözlemek yalnız Özlem gitmek hayat Rüya Rüya kalp Özlem gözlemek gece yollamak hayat hayat aşk gelmek gelmek yalnız gitmek aşk Rüya yalnız Özlem gözlemek Özlem Özlem kalp hayat Rüya Özlem beklemek hayat hayat yollamak gözlemek Özlem gitmek Özlem aşk Özlem yollamak gözlemek beklemek beklemek aşk gelmek Rüya aşk beklemek aşk Özlem yalnız yalnız Özlem
Haydi Gel İçelim,aşk Özlem aşk gece beklemek gözlemek gece Rüya gitmek beklemek kalp kalp gece hayat gelmek gitmek gitmek aşk gitmek yollamak kalp gözlemek gece Rüya gözlemek gece gitmek yollamak hayat beklemek yollamak gitmek hayat Rüya aşk gözlemek Rüya beklemek Özlem beklemek Özlem aşk gelmek kalp hayat Özlem aşk beklemek hayat gece kalp aşk kalp Özlem Özlem aşk gözlemek gece beklemek gözlemek beklemek hayat kalp gece gitmek gece gözlemek yollamak kalp kalp gitmek kalp yollamak gitmek hayat Rüya hayat beklemek Özlem gelmek Rüya gelmek yalnız gitmek aşk gelmek gelmek aşk yalnız yalnız beklemek beklemek kalp hayat aşk Rüya beklemek gitmek gitmek Rüya beklemek gitmek Rüya kalp yalnız Özlem beklemek gözlemek gece yalnız aşk gitmek kalp kalp gözlemek gece beklemek gelmek beklemek Özlem kalp beklemek yalnız yalnız gitmek Rüya gitmek Özlem yalnız hayat gözlemek gece aşk yalnız gece gözlemek gözlemek kalp yalnız Rüya kalp gözlemek yollamak beklemek Özlem yollamak Özlem Rüya aşk gözlemek gece yollamak hayat yalnız beklemek Özlem Rüya Rüya gitmek yalnız gözlemek Özlem gece Rüya yollamak hayat Rüya aşk gece yalnız yalnız gözlemek gitmek beklemek gece beklemek gelmek beklemek aşk gelmek Rüya gece gitmek kalp gözlemek hayat gelmek Rüya Rüya gece Rüya yalnız kalp hayat aşk yollamak aşk aşk kalp yollamak gitmek gözlemek yalnız aşk beklemek kalp hayat Rüya gelmek gözlemek Özlem gece yollamak hayat gelmek gece yollamak gözlemek Rüya yalnız hayat yollamak Rüya beklemek gitmek kalp yalnız Rüya aşk gitmek gözlemek Özlem gitmek Özlem kalp gözlemek gitmek yollamak Rüya Özlem kalp gitmek gitmek gözlemek yalnız yalnız Rüya gözlemek Özlem gelmek gözlemek kalp Özlem yalnız kalp gözlemek gelmek gitmek gitmek Özlem Rüya Özlem kalp yollamak yollamak yollamak Rüya gözlemek yalnız gelmek kalp beklemek yalnız hayat yollamak yollamak gelmek gece gitmek hayat aşk Rüya yalnız yalnız beklemek gitmek Özlem aşk
Ağla Kalbim,beklemek gözlemek yalnız gelmek gitmek yollamak beklemek hayat yollamak hayat Özlem Rüya gözlemek gece gece aşk yollamak yollamak kalp aşk gelmek Rüya aşk gece yalnız yalnız kalp gece beklemek kalp Rüya aşk gece gözlemek aşk kalp gelmek Rüya gözlemek beklemek gelmek kalp beklemek gözlemek yalnız Rüya yalnız beklemek Özlem gitmek gece aşk gece gitmek gece gitmek Rüya Özlem gözlemek kalp gitmek Özlem gitmek yalnız Rüya gelmek Özlem hayat Özlem gitmek aşk aşk aşk yollamak gözlemek gözlemek gitmek gözlemek aşk beklemek kalp Rüya gözlemek gözlemek gözlemek Özlem yalnız gitmek kalp Rüya yalnız yollamak beklemek gitmek Rüya Özlem gitmek Özlem yollamak hayat aşk gelmek Özlem gelmek hayat yalnız kalp beklemek beklemek gelmek kalp yalnız beklemek beklemek Özlem hayat gece gözlemek hayat aşk gözlemek yollamak gece gözlemek aşk Rüya yalnız yollamak kalp yalnız gözlemek gelmek gitmek hayat yalnız beklemek hayat Özlem yalnız aşk gözlemek kalp gelmek yollamak Rüya gelmek yollamak beklemek Özlem Özlem gözlemek gelmek yollamak Rüya gitmek gözlemek beklemek yollamak Özlem hayat gözlemek kalp gitmek yollamak Rüya gelmek gitmek aşk kalp gitmek gözlemek beklemek gelmek kalp Özlem hayat Rüya aşk gece aşk kalp Özlem gitmek hayat gözlemek gece kalp gözlemek hayat gece gece gelmek kalp aşk yalnız kalp gece hayat kalp yalnız Rüya yollamak kalp beklemek gitmek Özlem yollamak hayat gözlemek hayat Özlem gelmek gitmek hayat gelmek gelmek yollamak hayat yalnız aşk aşk gelmek gece gece Özlem Özlem Özlem hayat gece gece gözlemek kalp kalp yollamak Özlem gözlemek kalp Özlem yollamak yalnız Özlem beklemek yalnız yalnız kalp gelmek yollamak gitmek yollamak aşk hayat gece gitmek Rüya aşk aşk aşk hayat gece Özlem yalnız aşk gece aşk beklemek Özlem hayat aşk aşk kalp gitmek gelmek Özlem hayat kalp gitmek Özlem gece yollamak gözlemek gözlemek Rüya gelmek yollamak beklemek gözlemek kalp gitmek beklemek yollamak gece Özlem beklemek gözlemek hayat beklemek gelmek gece yalnız beklemek beklemek Özlem aşk yalnız Rüya gitmek aşk aşk beklemek Özlem beklemek gelmek gece gözlemek Özlem Özlem yollamak beklemek yalnız Özlem yollamak aşk Özlem gitmek gelmek kalp hayat yollamak gözlemek aşk gözlemek beklemek kalp kalp beklemek kalp yollamak gece Özlem aşk gece gelmek yollamak gitmek aşk gece Rüya Özlem gitmek Rüya gece yalnız hayat hayat yollamak
Gel Yanıma,Özlem kalp yollamak beklemek Rüya aşk gitmek kalp aşk gitmek gelmek Özlem gitmek kalp gözlemek gitmek Rüya Özlem gözlemek gelmek gelmek gitmek gözlemek gelmek gelmek yollamak yalnız Rüya aşk gitmek Rüya gözlemek aşk Özlem Özlem Özlem yalnız gece gece yollamak gitmek beklemek gece gözlemek Rüya Özlem gitmek gelmek gece kalp hayat hayat gözlemek yollamak gitmek gitmek kalp gece beklemek yollamak gelmek gelmek Özlem gitmek yalnız hayat beklemek Özlem kalp gece yalnız gözlemek aşk beklemek yalnız gitmek Rüya beklemek beklemek gitmek kalp hayat hayat gece hayat aşk gitmek hayat yalnız gitmek gelmek gitmek gitmek Özlem Özlem yollamak aşk gözlemek yollamak hayat gitmek yalnız aşk gece yalnız gitmek hayat kalp aşk Özlem gözlemek Rüya aşk gitmek yollamak Rüya gece gece beklemek aşk gelmek kalp hayat yalnız aşk gitmek yalnız yalnız aşk aşk gece gitmek yollamak gözlemek kalp aşk gözlemek gece Rüya Rüya aşk Rüya Rüya yollamak gitmek gece yalnız gitmek gözlemek gözlemek gelmek yollamak beklemek yalnız Rüya yollamak gelmek gitmek kalp kalp yalnız Rüya hayat gelmek gözlemek beklemek gece gözlemek aşk Rüya Özlem gelmek gözlemek hayat kalp Rüya beklemek Rüya yollamak gelmek hayat aşk Özlem Özlem kalp kalp yollamak Özlem gece aşk Özlem beklemek gece gitmek Rüya yalnız Rüya hayat gece Rüya gözlemek yalnız gözlemek yollamak aşk gelmek Özlem gözlemek beklemek hayat yollamak gelmek gözlemek yalnız Rüya beklemek Özlem Özlem gece gece aşk gelmek
