şarkı,stemmed_str
Yalnızlık Senfonisi,kal bek gözl özl yalnızl kal hay gel yalnızl gel aşk gec gözl git kal özl hay yoll yalnızl yalnızl gel bek rüy git gec hay aşk gec yoll yalnızl kal özl gözl gözl aşk yoll gec rüy rüy gec bek gözl gel gel yoll hay yalnızl yoll gözl aşk özl yoll aşk özl gözl bek gec yoll gel yoll gec kal gözl bek kal yalnızl hay gel özl özl bek git aşk özl gec aşk rüy rüy kal git bek özl gec rüy rüy gec bek gel yalnızl rüy gözl gec git gözl gec özl hay kal git hay kal bek rüy hay hay bek git rüy gel gel hay hay gel yalnızl gel kal git aşk gözl yoll gec yoll özl yoll gözl git kal kal git hay gözl kal hay kal özl git gel yalnızl git özl yalnızl aşk aşk git git yalnızl bek gel rüy özl gözl gel git özl gözl yoll özl yalnızl rüy gec kal yalnızl kal yoll kal gec gözl gel rüy hay bek yalnızl aşk git özl aşk bek git yoll rüy rüy gel yoll git gözl rüy bek özl git aşk aşk bek git gözl git gözl rüy yalnızl kal yoll gec gel hay gözl aşk hay hay yalnızl hay gec aşk kal yalnızl özl bek hay bek aşk rüy özl kal yoll gec yalnızl aşk gec yoll özl aşk bek aşk bek gel hay bek gel hay gel aşk gec gec gel rüy bek yoll gözl aşk özl bek hay özl gec gel yalnızl kal gec gel gec hay aşk özl gel bek özl gel hay kal gel yalnızl rüy yalnızl yoll bek git yoll hay gözl hay hay özl yalnızl gec rüy hay rüy rüy özl gözl rüy bek hay yoll özl yalnızl gel rüy bek rüy hay hay aşk hay rüy gec yoll gec gözl yalnızl gözl yoll yalnızl özl kal yoll git yoll bek yoll aşk gözl gec gec yoll aşk hay rüy bek bek rüy özl bek yoll hay hay yoll gözl kal gözl yalnızl özl rüy kal özl bek aşk gözl bek kal kal hay özl git gel yalnızl gec yoll yalnızl gözl özl kal gel git kal bek özl rüy yoll bek rüy aşk hay yoll bek git gel kal gel yoll hay gel git bek rüy gözl yalnızl yalnızl yoll git git aşk aşk rüy gel git hay gec kal hay bek özl bek aşk gel yalnızl yoll kal yalnızl hay git aşk hay yoll git rüy aşk yoll gec yoll yoll kal gözl hay git aşk özl gözl yoll hay git aşk gec hay gel gel rüy gec kal özl yoll gözl aşk yoll git yoll yalnızl yoll kal kal aşk aşk bek yalnızl bek gel yalnızl gel gec özl gec gözl yoll bek
Gibi,gec gözl kal yoll yalnızl kal özl hay aşk aşk yoll kal bek özl kal yalnızl yalnızl özl gel gel bek gec kal git gözl gel hay özl hay hay rüy kal kal aşk aşk kal aşk rüy özl yoll rüy kal özl git gözl gec gec git rüy bek git yoll gec hay yoll hay aşk yoll yoll aşk aşk aşk yalnızl gel kal yoll gec gec gözl kal aşk yoll git gel özl yoll rüy aşk gel özl yalnızl kal hay yoll gec gözl yalnızl hay kal yalnızl özl yoll hay aşk bek kal özl gözl aşk bek bek kal rüy bek kal aşk git gözl hay git özl kal hay gec yalnızl bek hay aşk yoll yoll git gec gözl rüy hay gel gözl yoll git gözl gec gözl hay git yoll yalnızl hay aşk bek gel yoll hay hay özl kal git rüy özl kal aşk git gel aşk gözl gel bek rüy gec gec bek gözl hay yoll git hay yalnızl gec bek git yoll hay aşk git aşk yalnızl bek rüy gec kal gec hay git hay gel bek aşk aşk kal hay gözl özl bek aşk yalnızl git gel yoll hay yoll gec gel yalnızl rüy git gözl yoll kal bek bek yalnızl kal yoll gözl gözl gel gel git gec gel aşk gec bek kal özl yoll kal aşk yoll rüy bek yoll özl yalnızl gec yoll aşk kal aşk hay rüy gel özl kal özl yoll bek rüy aşk gözl kal gec gözl hay gec hay yalnızl hay gec yalnızl kal hay özl yalnızl gözl hay bek aşk gözl git gel kal bek yalnızl rüy rüy yalnızl gec aşk kal hay gec kal git bek gözl rüy git git yoll hay gel gel git git özl özl aşk hay gec bek rüy git aşk özl gec hay git gözl yoll bek özl rüy kal bek bek kal aşk git rüy özl yalnızl gözl kal bek aşk gözl yalnızl yoll yoll kal hay özl
Kara Sevda,özl rüy hay yalnızl kal hay kal yoll hay git bek gel yalnızl gec hay rüy rüy gözl gec bek gözl yoll yalnızl yalnızl rüy gec kal yalnızl git özl hay özl gözl yalnızl git bek özl git rüy hay gec gec rüy yoll git aşk hay rüy gel kal özl bek yalnızl git hay gözl hay aşk yalnızl özl gec bek kal rüy kal gel bek gec gözl hay gözl aşk yoll yalnızl rüy gözl git gözl gözl gec gec aşk hay yalnızl gözl rüy özl rüy rüy git aşk hay bek yoll hay aşk yoll hay özl kal gözl gec bek kal yoll bek kal rüy aşk hay aşk aşk kal gec yoll yalnızl bek gözl gözl aşk yalnızl yoll yoll aşk özl hay yalnızl gel gec kal aşk yoll gözl rüy rüy gel gel gel git aşk hay gec gözl aşk özl rüy bek özl özl gel özl kal aşk gözl gözl gözl bek özl gözl yalnızl gel kal kal hay gözl kal hay yoll rüy gec özl bek kal git yoll git gözl kal git yalnızl hay bek yalnızl aşk gözl yalnızl rüy gözl rüy kal yoll hay git yalnızl gel aşk rüy gec gözl özl özl gel yalnızl hay kal gözl git gel özl gec yalnızl gel gel yalnızl yoll yoll kal gec yalnızl gel bek hay gözl bek gec gözl rüy gel yalnızl rüy gözl hay bek git gözl gel özl rüy özl aşk hay yoll gec yoll git gözl özl kal bek kal yoll yoll hay gözl gec gözl git bek git özl rüy aşk rüy git git yalnızl gel yalnızl gözl rüy gel hay özl yoll gel aşk yalnızl kal gec git özl yoll gel git kal yalnızl rüy hay rüy yoll gec gel yoll hay yoll hay aşk git yalnızl özl özl gec kal özl hay gec gözl kal özl gec gel yoll gel yalnızl aşk aşk gec özl yoll git gel yalnızl özl gözl git gec aşk yalnızl yalnızl gel gec gözl özl rüy aşk gel git gözl bek git yalnızl gel gel özl bek özl aşk özl hay gözl git gözl aşk rüy kal hay gel rüy bek yoll yalnızl bek gözl git kal gel kal özl özl rüy gel git aşk rüy hay bek gel gözl gel yoll gözl yoll gözl yalnızl kal git gel kal rüy yalnızl yalnızl aşk gec yoll bek yalnızl kal kal bek yalnızl gel gözl gözl hay yalnızl gel gel rüy yalnızl gel gel yalnızl rüy gel yoll aşk yalnızl aşk aşk hay yoll aşk yalnızl yalnızl yalnızl hay özl yalnızl gec gözl özl rüy yalnızl bek aşk gel git gel aşk git hay gözl yalnızl hay rüy git hay gözl özl kal yalnızl yalnızl gözl git git gec gözl yoll hay özl gel yalnızl gec rüy bek hay yalnızl özl kal kal yoll yalnızl özl gel gözl bek özl rüy hay rüy hay gec gec özl gel bek aşk gec gel
Gel Yanıma,gec hay gözl git kal git aşk hay gec yoll hay gözl git özl özl gec kal gel gel bek gözl gec yalnızl gözl gec gec git özl aşk gel gec git bek bek hay hay gözl git bek yalnızl yalnızl gel kal rüy özl kal rüy hay rüy özl kal kal bek gel gel git gec rüy hay rüy yoll yoll hay aşk gel gözl gel rüy aşk rüy özl gec bek kal gec yalnızl aşk git yalnızl aşk yoll özl kal kal bek aşk rüy bek rüy bek bek rüy kal kal yoll hay yalnızl hay bek özl git bek kal aşk yoll yalnızl rüy hay kal bek kal özl gec git git hay kal bek özl özl aşk hay git rüy git hay rüy yalnızl gec gec aşk yoll özl kal kal aşk yoll rüy gözl özl aşk hay yalnızl gec yalnızl gel gel gel hay özl yalnızl kal hay özl gözl gel hay yoll git yoll rüy kal yalnızl gel git gözl bek rüy gec kal yalnızl yoll hay yalnızl gel gel gec gözl kal bek yalnızl bek gec gözl yalnızl gözl yoll gözl özl aşk gec yoll gec gec aşk aşk hay bek gec git aşk git hay özl kal kal gel özl aşk yoll özl yalnızl gözl özl rüy aşk rüy bek kal gel yoll git yoll bek özl gel bek rüy gel özl gözl hay gel
Yalnızlık Senfonisi,gözl aşk gözl aşk hay rüy bek yoll hay özl rüy gec hay hay yalnızl özl gec gec yalnızl kal gözl kal gözl hay git bek gözl hay gec yalnızl gec gözl yoll gel bek yoll bek bek aşk yoll bek gözl gözl yoll aşk gec aşk kal gel aşk yalnızl aşk rüy gec yoll gel gel yoll özl gec yalnızl gel bek gel git git gel özl kal özl git gel bek gec aşk bek hay gec rüy gözl yalnızl gel gec git aşk gözl yalnızl yoll yoll aşk kal git özl git rüy git gel rüy aşk özl aşk hay rüy hay bek gel git rüy bek rüy rüy yoll yoll git yoll rüy kal hay aşk yoll gec git aşk bek bek gec yalnızl bek gel hay aşk aşk hay gözl gözl aşk kal bek hay yoll gel bek hay gözl yalnızl bek yalnızl özl gec gec yalnızl hay bek aşk kal yalnızl özl git aşk rüy hay gel yalnızl özl bek bek özl kal bek rüy özl git aşk gel gec kal kal bek kal aşk bek yoll özl aşk hay özl özl rüy hay yalnızl kal git gözl aşk rüy aşk bek gel gec bek hay özl yalnızl yoll rüy kal git bek rüy kal yalnızl özl gel
Kara Sevda,gec yalnızl gel aşk aşk git yoll git kal hay rüy bek yoll gec gec yalnızl git yalnızl gözl gel gözl yoll gözl git git git yalnızl bek gel kal yalnızl yalnızl gel kal gözl gözl gec rüy aşk gel bek gec hay gözl yalnızl git hay bek aşk özl gel gel yoll yoll kal gel yalnızl gözl gözl özl yalnızl yoll git rüy yoll özl bek gözl hay gel git özl kal yoll kal git git yoll gec yalnızl hay gel git bek bek gec gec yoll gec rüy gel gözl gec bek kal özl rüy yalnızl rüy bek yoll yalnızl yalnızl gözl rüy aşk rüy kal yalnızl gözl yoll gec gözl kal kal bek gec gel hay rüy gec gel yoll yoll yoll gözl gec bek aşk bek git özl rüy yalnızl rüy aşk gel gec gel özl gözl gec aşk hay gel gel özl hay git yalnızl gel hay bek hay yalnızl kal rüy rüy kal aşk aşk rüy git bek özl hay aşk kal özl özl rüy kal git bek hay bek gel özl aşk kal rüy rüy gözl rüy aşk gel aşk git gel kal yoll aşk özl bek kal bek gözl aşk git git özl bek gec yalnızl gec kal yoll gözl git git git yalnızl rüy gec bek aşk kal bek git rüy gözl yoll yalnızl kal kal rüy hay hay özl gec aşk git gec özl bek hay gel yoll gel yalnızl gec gel özl gec özl kal gec yalnızl aşk gözl özl aşk yoll git yalnızl yalnızl kal git yoll özl gec kal kal git rüy özl aşk bek kal özl bek rüy rüy gözl yalnızl yalnızl gec gözl yalnızl bek gel gözl aşk bek gözl gel kal git kal bek kal aşk aşk git rüy git gel yalnızl gel yoll özl özl özl gec hay aşk yoll gel hay yalnızl bek gözl özl gel gec gözl gözl gel kal rüy yalnızl gel gec yalnızl gözl gec gözl bek git aşk gec yoll yoll gel yalnızl gözl bek git rüy yalnızl aşk aşk git yalnızl aşk bek kal kal
Gibi,bek rüy aşk özl yoll yoll gözl aşk gec kal hay yoll yoll rüy kal aşk hay gec gel yalnızl rüy gel hay yalnızl hay yalnızl rüy rüy git git yalnızl yalnızl özl yalnızl hay kal aşk kal hay gec kal gel özl aşk yalnızl rüy bek yalnızl gec yalnızl yalnızl gözl özl bek gec kal gözl hay gel özl git bek özl gec gec hay gel rüy git özl rüy aşk özl özl rüy git özl kal özl gec yalnızl gözl gec kal hay özl hay gel özl özl yoll gel gec gec bek git gec yoll kal gel rüy kal gec hay gel yoll git bek yalnızl bek bek bek rüy hay aşk özl kal özl özl özl kal gel yoll yalnızl git gözl aşk rüy bek bek git rüy rüy rüy bek gec gel rüy gözl yalnızl hay özl hay özl gözl gec yalnızl hay gel kal özl git özl gec hay git git yalnızl yalnızl aşk gözl yalnızl özl git hay rüy rüy kal özl gözl gec yoll hay hay aşk gel gel yalnızl git aşk rüy yalnızl özl gözl özl özl kal hay rüy özl bek hay hay yoll gözl özl git özl aşk özl yoll gözl bek bek aşk gel rüy aşk bek aşk özl yalnızl yalnızl özl
Haydi Gel İçelim,aşk özl aşk gec bek gözl gec rüy git bek kal kal gec hay gel git git aşk git yoll kal gözl gec rüy gözl gec git yoll hay bek yoll git hay rüy aşk gözl rüy bek özl bek özl aşk gel kal hay özl aşk bek hay gec kal aşk kal özl özl aşk gözl gec bek gözl bek hay kal gec git gec gözl yoll kal kal git kal yoll git hay rüy hay bek özl gel rüy gel yalnızl git aşk gel gel aşk yalnızl yalnızl bek bek kal hay aşk rüy bek git git rüy bek git rüy kal yalnızl özl bek gözl gec yalnızl aşk git kal kal gözl gec bek gel bek özl kal bek yalnızl yalnızl git rüy git özl yalnızl hay gözl gec aşk yalnızl gec gözl gözl kal yalnızl rüy kal gözl yoll bek özl yoll özl rüy aşk gözl gec yoll hay yalnızl bek özl rüy rüy git yalnızl gözl özl gec rüy yoll hay rüy aşk gec yalnızl yalnızl gözl git bek gec bek gel bek aşk gel rüy gec git kal gözl hay gel rüy rüy gec rüy yalnızl kal hay aşk yoll aşk aşk kal yoll git gözl yalnızl aşk bek kal hay rüy gel gözl özl gec yoll hay gel gec yoll gözl rüy yalnızl hay yoll rüy bek git kal yalnızl rüy aşk git gözl özl git özl kal gözl git yoll rüy özl kal git git gözl yalnızl yalnızl rüy gözl özl gel gözl kal özl yalnızl kal gözl gel git git özl rüy özl kal yoll yoll yoll rüy gözl yalnızl gel kal bek yalnızl hay yoll yoll gel gec git hay aşk rüy yalnızl yalnızl bek git özl aşk
Ağla Kalbim,bek gözl yalnızl gel git yoll bek hay yoll hay özl rüy gözl gec gec aşk yoll yoll kal aşk gel rüy aşk gec yalnızl yalnızl kal gec bek kal rüy aşk gec gözl aşk kal gel rüy gözl bek gel kal bek gözl yalnızl rüy yalnızl bek özl git gec aşk gec git gec git rüy özl gözl kal git özl git yalnızl rüy gel özl hay özl git aşk aşk aşk yoll gözl gözl git gözl aşk bek kal rüy gözl gözl gözl özl yalnızl git kal rüy yalnızl yoll bek git rüy özl git özl yoll hay aşk gel özl gel hay yalnızl kal bek bek gel kal yalnızl bek bek özl hay gec gözl hay aşk gözl yoll gec gözl aşk rüy yalnızl yoll kal yalnızl gözl gel git hay yalnızl bek hay özl yalnızl aşk gözl kal gel yoll rüy gel yoll bek özl özl gözl gel yoll rüy git gözl bek yoll özl hay gözl kal git yoll rüy gel git aşk kal git gözl bek gel kal özl hay rüy aşk gec aşk kal özl git hay gözl gec kal gözl hay gec gec gel kal aşk yalnızl kal gec hay kal yalnızl rüy yoll kal bek git özl yoll hay gözl hay özl gel git hay gel gel yoll hay yalnızl aşk aşk gel gec gec özl özl özl hay gec gec gözl kal kal yoll özl gözl kal özl yoll yalnızl özl bek yalnızl yalnızl kal gel yoll git yoll aşk hay gec git rüy aşk aşk aşk hay gec özl yalnızl aşk gec aşk bek özl hay aşk aşk kal git gel özl hay kal git özl gec yoll gözl gözl rüy gel yoll bek gözl kal git bek yoll gec özl bek gözl hay bek gel gec yalnızl bek bek özl aşk yalnızl rüy git aşk aşk bek özl bek gel gec gözl özl özl yoll bek yalnızl özl yoll aşk özl git gel kal hay yoll gözl aşk gözl bek kal kal bek kal yoll gec özl aşk gec gel yoll git aşk gec rüy özl git rüy gec yalnızl hay hay yoll
Gel Yanıma,özl kal yoll bek rüy aşk git kal aşk git gel özl git kal gözl git rüy özl gözl gel gel git gözl gel gel yoll yalnızl rüy aşk git rüy gözl aşk özl özl özl yalnızl gec gec yoll git bek gec gözl rüy özl git gel gec kal hay hay gözl yoll git git kal gec bek yoll gel gel özl git yalnızl hay bek özl kal gec yalnızl gözl aşk bek yalnızl git rüy bek bek git kal hay hay gec hay aşk git hay yalnızl git gel git git özl özl yoll aşk gözl yoll hay git yalnızl aşk gec yalnızl git hay kal aşk özl gözl rüy aşk git yoll rüy gec gec bek aşk gel kal hay yalnızl aşk git yalnızl yalnızl aşk aşk gec git yoll gözl kal aşk gözl gec rüy rüy aşk rüy rüy yoll git gec yalnızl git gözl gözl gel yoll bek yalnızl rüy yoll gel git kal kal yalnızl rüy hay gel gözl bek gec gözl aşk rüy özl gel gözl hay kal rüy bek rüy yoll gel hay aşk özl özl kal kal yoll özl gec aşk özl bek gec git rüy yalnızl rüy hay gec rüy gözl yalnızl gözl yoll aşk gel özl gözl bek hay yoll gel gözl yalnızl rüy bek özl özl gec gec aşk gel
